,V1,V2,V3,V4,V (+) 5,V (-) 5,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15
Aspartate,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Argininosuccinate,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fumarate,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Arginine,0,1,-1,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urea,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
Ornithine,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbamoyl phosphate,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citrulline,-1,0,0,1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AMP,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
Diphosphate,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
Water,0,0,-1,0,4,-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
Orthophos,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
O2,0,0,0,0,-4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NADPH,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
H+,0,0,0,0,-3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NO,0,0,0,0,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
NADP+,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Aspartate,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fumarate,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Urea,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Carbamoyl phosphate,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
AMP,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Diphosphate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Water,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1
Orthophosphate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
NADPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
H+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NADP+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
